vi_caption,category_code,en_caption,report_type
A- TÀI SẢN NGẮN HẠN,BS_100,A. CURRENT ASSETS,balance_sheet
I. Tiền và các khoản tương đương tiền,BS_110,I. Cash and cash equivalents,balance_sheet
1. Tiền,BS_111,Cash,balance_sheet
2. Các khoản tương đương tiền,BS_112,Cash equivalents,balance_sheet
II. Các khoản đầu tư tài chính ngắn hạn,BS_120,II. Short-term financial investments,balance_sheet
1. Chứng khoán kinh doanh,BS_121,Trading securities,balance_sheet
2. Dự phòng giảm giá chứng khoán kinh doanh,BS_122,Provision for decline in value of trading securities,balance_sheet
3. Đầu tư nắm giữ đến ngày đáo hạn,BS_123,Held-to-maturity investments,balance_sheet
III. Các khoản phải thu ngắn hạn,BS_130,III. Short-term receivables,balance_sheet
1. Phải thu ngắn hạn của khách hàng,BS_131,Trade receivables,balance_sheet
2. Trả trước cho người bán ngắn hạn,BS_132,Prepayments to suppliers (short-term),balance_sheet
3. Phải thu nội bộ ngắn hạn,BS_133,Intra-group receivables (short-term),balance_sheet
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,BS_134,Receivables under construction contract progress,balance_sheet
5. Phải thu về cho vay ngắn hạn,BS_135,Short-term loan receivables,balance_sheet
6. Phải thu ngắn hạn khác,BS_136,Other short-term receivables,balance_sheet
7. Dự phòng phải thu ngắn hạn khó đòi,BS_137,Provision for doubtful short-term receivables,balance_sheet
8. Tài sản Thiếu chờ xử lý,BS_139,Missing assets pending resolution,balance_sheet
IV. Hàng tồn kho,BS_140,IV. Inventories,balance_sheet
1. Hàng tồn kho,BS_141,Inventories,balance_sheet
2. Dự phòng giảm giá hàng tồn kho,BS_149,Provision for decline in value of inventories,balance_sheet
V.Tài sản ngắn hạn khác,BS_150,V. Other current assets,balance_sheet
1. Chi phí trả trước ngắn hạn,BS_151,Short-term prepaid expenses,balance_sheet
2. Thuế GTGT được khấu trừ,BS_152,Deductible VAT,balance_sheet
3. Thuế và các khoản khác phải thu Nhà nước,BS_153,Taxes and other receivables from the State,balance_sheet
4. Giao dịch mua bán lại trái phiếu Chính phủ,BS_154,Government bond repurchase transactions,balance_sheet
5. Tài sản ngắn hạn khác,BS_155,Other current assets,balance_sheet
B. TÀI SẢN DÀI HẠN,BS_200,B. NON-CURRENT ASSETS,balance_sheet
I. Các khoản phải thu dài hạn,BS_210,I. Long-term receivables,balance_sheet
1. Phải thu dài hạn của khách hàng,BS_211,Long-term trade receivables,balance_sheet
2. Trả trước cho người bán dài hạn,BS_212,Long-term prepayments to suppliers,balance_sheet
3. Vốn kinh doanh ở đơn vị trực thuộc,BS_213,Business capital at subsidiaries,balance_sheet
4. Phải thu nội bộ dài hạn,BS_214,Long-term intra-group receivables,balance_sheet
5. Phải thu về cho vay dài hạn,BS_215,Long-term loan receivables,balance_sheet
6. Phải thu dài hạn khác,BS_216,Other long-term receivables,balance_sheet
7. Dự phòng phải thu dài hạn khó đòi,BS_219,Provision for doubtful long-term receivables,balance_sheet
II.Tài sản cố định,BS_220,II. Fixed assets,balance_sheet
1. Tài sản cố định hữu hình,BS_221,Tangible fixed assets,balance_sheet
- Nguyên giá,BS_222,Historical cost,balance_sheet
- Giá trị hao mòn lũy kế,BS_223,Accumulated depreciation,balance_sheet
2. Tài sản cố định thuê tài chính,BS_224,Finance-leased fixed assets,balance_sheet
- Nguyên giá,BS_225,Historical cost,balance_sheet
- Giá trị hao mòn lũy kế,BS_226,Accumulated depreciation,balance_sheet
3. Tài sản cố định vô hình,BS_227,Intangible fixed assets,balance_sheet
- Nguyên giá,BS_228,Historical cost,balance_sheet
- Giá trị hao mòn lũy kế,BS_229,Accumulated depreciation,balance_sheet
III. Bất động sản đầu tư,BS_230,III. Investment properties,balance_sheet
- Nguyên giá,BS_231,Historical cost,balance_sheet
- Giá trị hao mòn lũy kế,BS_232,Accumulated depreciation,balance_sheet
IV. Tài sản dở dang dài hạn,BS_240,IV. Long-term work in progress,balance_sheet
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",BS_241,Long-term unfinished production and business costs,balance_sheet
2. Chi phí xây dựng cơ bản dở dang,BS_242,Long-term construction in progress,balance_sheet
V. Đầu tư tài chính dài hạn,BS_250,V. Long-term financial investments,balance_sheet
1. Đầu tư vào công ty con,BS_251,Investment in subsidiaries,balance_sheet
"2. Đầu tư vào công ty liên kết, liên doanh",BS_252,Investment in associates and joint ventures,balance_sheet
3. Đầu tư góp vốn vào đơn vị khác,BS_253,Investment in other entities,balance_sheet
4. Dự phòng đầu tư tài chính dài hạn,BS_254,Provision for long-term financial investments,balance_sheet
5. Đầu tư nắm giữ đến ngày đáo hạn,BS_255,Held-to-maturity investments,balance_sheet
VI. Tài sản dài hạn khác,BS_260,VI. Other non-current assets,balance_sheet
1. Chi phí trả trước dài hạn,BS_261,Long-term prepaid expenses,balance_sheet
2. Tài sản thuế thu nhập hoãn lại,BS_262,Deferred tax assets,balance_sheet
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",BS_263,"Long-term equipment, supplies, spare parts",balance_sheet
4. Tài sản dài hạn khác,BS_268,Other non-current assets,balance_sheet
5. Lợi thế thương mại,BS_269,Goodwill,balance_sheet
TỔNG CỘNG TÀI SẢN,BS_270,TOTAL ASSETS,balance_sheet
C. NỢ PHẢI TRẢ,BS_300,C. LIABILITIES,balance_sheet
I. Nợ ngắn hạn,BS_310,I. Current liabilities,balance_sheet
1. Phải trả người bán ngắn hạn,BS_311,Trade payables (short-term),balance_sheet
2. Người mua trả tiền trước ngắn hạn,BS_312,Advances from customers (short-term),balance_sheet
3. Thuế và các khoản phải nộp nhà nước,BS_313,Taxes and amounts payable to the State,balance_sheet
4. Phải trả người lao động,BS_314,Payables to employees,balance_sheet
5. Chi phí phải trả ngắn hạn,BS_315,Accrued expenses (short-term),balance_sheet
6. Phải trả nội bộ ngắn hạn,BS_316,Intra-group payables (short-term),balance_sheet
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,BS_317,Payables under construction contract progress (short-term),balance_sheet
8. Doanh thu chưa thực hiện ngắn hạn,BS_318,Deferred revenue (short-term),balance_sheet
9. Phải trả ngắn hạn khác,BS_319,Other short-term payables,balance_sheet
10. Vay và nợ thuê tài chính ngắn hạn,BS_320,Short-term borrowings and finance leases,balance_sheet
11. Dự phòng phải trả ngắn hạn,BS_321,Short-term provisions,balance_sheet
12. Quỹ khen thưởng phúc lợi,BS_322,Bonus and welfare funds,balance_sheet
13. Quỹ bình ổn giá,BS_323,Price stabilization fund,balance_sheet
14. Giao dịch mua bán lại trái phiếu Chính phủ,BS_324,Government bond repurchase transactions,balance_sheet
II. Nợ dài hạn,BS_330,II. Non-current liabilities,balance_sheet
1. Phải trả người bán dài hạn,BS_331,Long-term trade payables,balance_sheet
2. Người mua trả tiền trước dài hạn,BS_332,Advances from customers (long-term),balance_sheet
3. Chi phí phải trả dài hạn,BS_333,Accrued expenses (long-term),balance_sheet
4. Phải trả nội bộ về vốn kinh doanh,BS_334,Long-term intra-group business capital payables,balance_sheet
5. Phải trả nội bộ dài hạn,BS_335,Long-term intra-group payables,balance_sheet
6. Doanh thu chưa thực hiện dài hạn,BS_336,Deferred revenue (long-term),balance_sheet
7. Phải trả dài hạn khác,BS_337,Other long-term payables,balance_sheet
8. Vay và nợ thuê tài chính dài hạn,BS_338,Long-term borrowings and finance leases,balance_sheet
9. Trái phiếu chuyển đổi,BS_339,Convertible bonds,balance_sheet
10. Cổ phiếu ưu đãi,BS_340,Preferred shares,balance_sheet
11. Thuế thu nhập hoãn lại phải trả,BS_341,Deferred income tax liabilities,balance_sheet
12. Dự phòng phải trả dài hạn,BS_342,Long-term provisions,balance_sheet
13. Quỹ phát triển khoa học và công nghệ,BS_343,Science and technology development fund,balance_sheet
D.VỐN CHỦ SỞ HỮU,BS_400,EQUITY,balance_sheet
I. Vốn chủ sở hữu,BS_410,Owner's equity,balance_sheet
1. Vốn góp của chủ sở hữu,BS_411,Contributed capital,balance_sheet
- Cổ phiếu phổ thông có quyền biểu quyết,BS_411a,Common shares with voting rights,balance_sheet
- Cổ phiếu ưu đãi,BS_411b,Preferred shares,balance_sheet
2. Thặng dư vốn cổ phần,BS_412,Share premium,balance_sheet
3. Quyền chọn chuyển đổi trái phiếu,BS_413,Convertible bond options,balance_sheet
4. Vốn khác của chủ sở hữu,BS_414,Other owner’s capital,balance_sheet
5. Cổ phiếu quỹ,BS_415,Treasury shares,balance_sheet
6. Chênh lệch đánh giá lại tài sản,BS_416,Revaluation differences in assets,balance_sheet
7. Chênh lệch tỷ giá hối đoái,BS_417,Foreign exchange differences,balance_sheet
8. Quỹ đầu tư phát triển,BS_418,Development investment fund,balance_sheet
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,BS_419,Enterprise arrangement assistance fund,balance_sheet
10. Quỹ khác thuộc vốn chủ sở hữu,BS_420,Other funds under owner’s equity,balance_sheet
11. Lợi nhuận sau thuế chưa phân phối,BS_421,Retained earnings after tax,balance_sheet
- LNST chưa phân phối lũy kế đến cuối kỳ trước,BS_421a,Accumulated retained earnings up to the end of the previous period,balance_sheet
- LNST chưa phân phối kỳ này,BS_421b,Retained earnings for this period,balance_sheet
12. Nguồn vốn đầu tư XDCB,BS_422,Capital for construction investment,balance_sheet
13. Lợi ích cổ đông không kiểm soát,BS_429,Non-controlling interests,balance_sheet
II. Nguồn kinh phí và quỹ khác,BS_430,Funds and other reserves,balance_sheet
1. Nguồn kinh phí,BS_431,Funds,balance_sheet
2. Nguồn kinh phí đã hình thành TSCĐ,BS_432,Funds formed from fixed assets,balance_sheet
TỔNG CỘNG NGUỒN VỐN,BS_440,TOTAL LIABILITIES AND EQUITY,balance_sheet
1. Doanh thu bán hàng và cung cấp dịch vụ,IS_001,Revenue from sales and services rendered,income_statement
2. Các khoản giảm trừ doanh thu,IS_002,Deductions from revenue,income_statement
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),IS_010,Net revenue from sales and services rendered,income_statement
4. Giá vốn hàng bán,IS_011,Cost of goods sold,income_statement
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),IS_020,Gross profit from sales and services rendered,income_statement
6. Doanh thu hoạt động tài chính,IS_021,Financial income,income_statement
7. Chi phí tài chính,IS_022,Financial expenses,income_statement
- Trong đó: Chi phí lãi vay,IS_023,Of which: Interest expenses,income_statement
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",IS_024,Share of profit/(loss) from joint ventures and associates,income_statement
9. Chi phí bán hàng,IS_025,Selling expenses,income_statement
10. Chi phí quản lý doanh nghiệp,IS_026,Administrative expenses,income_statement
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},IS_030,Net profit from operating activities,income_statement
12. Thu nhập khác,IS_031,Other income,income_statement
13. Chi phí khác,IS_032,Other expenses,income_statement
14. Lợi nhuận khác(40=31-32),IS_040,Other profit/(loss),income_statement
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),IS_050,Total accounting profit before tax,income_statement
16. Chi phí thuế TNDN hiện hành,IS_051,Current corporate income tax expense,income_statement
17. Chi phí thuế TNDN hoãn lại,IS_052,Deferred corporate income tax expense,income_statement
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),IS_060,Profit after corporate income tax,income_statement
19. Lợi nhuận sau thuế công ty mẹ,IS_061,Profit after tax attributable to the parent company,income_statement
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,IS_062,Profit after tax attributable to non-controlling interests,income_statement
21. Lãi cơ bản trên cổ phiếu(*),IS_070,Basic earnings per share,income_statement
22. Lãi suy giảm trên cổ phiếu (*),IS_071,Diluted earnings per share,income_statement
1. Lợi nhuận trước thuế,CF_001,Profit before tax,cash_flow_statement
- Khấu hao TSCĐ và BĐSĐT,CF_002,Depreciation of fixed assets and investment properties,cash_flow_statement
- Các khoản dự phòng,CF_003,Provisions,cash_flow_statement
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",CF_004,Foreign exchange gains/losses due to revaluation of foreign currency monetary items,cash_flow_statement
"- Lãi, lỗ từ hoạt động đầu tư",CF_005,Gains/losses from investment activities,cash_flow_statement
- Chi phí lãi vay,CF_006,Interest expenses,cash_flow_statement
- Các khoản điều chỉnh khác,CF_007,Other adjustments,cash_flow_statement
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,CF_008,Profit from business activities before changes in working capital,cash_flow_statement
"- Tăng, giảm các khoản phải thu",CF_009,Increase/decrease in receivables,cash_flow_statement
"- Tăng, giảm hàng tồn kho",CF_010,Increase/decrease in inventories,cash_flow_statement
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",CF_011,"Increase/decrease in payables (excluding interest payable, corporate income tax payable)",cash_flow_statement
"- Tăng, giảm chi phí trả trước",CF_012,Increase/decrease in prepaid expenses,cash_flow_statement
"- Tăng, giảm chứng khoán kinh doanh",CF_013,Increase/decrease in trading securities,cash_flow_statement
- Tiền lãi vay đã trả,CF_014,Interest paid,cash_flow_statement
- Thuế thu nhập doanh nghiệp đã nộp,CF_015,Corporate income tax paid,cash_flow_statement
- Tiền thu khác từ hoạt động kinh doanh,CF_016,Other cash receipts from business activities,cash_flow_statement
- Tiền chi khác cho hoạt động kinh doanh,CF_017,Other cash payments for business activities,cash_flow_statement
Lưu chuyển tiền thuần từ hoạt động kinh doanh,CF_020,Net cash flow from operating activities,cash_flow_statement
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",CF_021,"Cash outflows for purchase, construction of fixed assets and other long-term assets",cash_flow_statement
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",CF_022,Cash inflows from disposal of fixed assets and other long-term assets,cash_flow_statement
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",CF_023,"Cash outflows for loans, purchasing debt instruments of other entities",cash_flow_statement
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",CF_024,"Cash inflows from recovering loans, reselling debt instruments of other entities",cash_flow_statement
5.Tiền chi đầu tư góp vốn vào đơn vị khác,CF_025,Cash outflows for capital investments in other entities,cash_flow_statement
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,CF_026,Cash inflows from recovering capital investments in other entities,cash_flow_statement
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",CF_027,"Cash receipts from interest, dividends, and profit sharing",cash_flow_statement
Lưu chuyển tiền thuần từ hoạt động đầu tư,CF_030,Net cash flow from investing activities,cash_flow_statement
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",CF_031,"Cash inflows from issuing shares, receiving capital contributions from owners",cash_flow_statement
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",CF_032,"Cash outflows for repaying capital to owners, buying back issued shares",cash_flow_statement
3.Tiền thu từ đi vay,CF_033,Cash inflows from borrowing,cash_flow_statement
4.Tiền chi trả nợ gốc vay,CF_034,Cash outflows for principal debt repayment,cash_flow_statement
5.Tiền chi trả nợ gốc thuê tài chính,CF_035,Cash outflows for principal payments on finance leases,cash_flow_statement
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",CF_036,"Dividends, profits paid to owners",cash_flow_statement
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,CF_037,Cash inflows from non-controlling interests' capital contributions,cash_flow_statement
Lưu chuyển tiền thuần từ hoạt động tài chính,CF_040,Net cash flow from financing activities,cash_flow_statement
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),CF_050,Net cash flow during the period (50 = 20 + 30 + 40),cash_flow_statement
Tiền và tương đương tiền đầu kỳ,CF_060,Cash and cash equivalents at the beginning of the period,cash_flow_statement
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,CF_061,Effects of exchange rate changes on foreign currency conversion,cash_flow_statement
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),CF_070,Cash and cash equivalents at the end of the period (70 = 50 + 60 + 61),cash_flow_statement
CHI PHÍ THUẾ TNDN,IS_050.1,Corporate income tax expenses,income_statement
