category_code,vi_caption,en_caption,parent_code
Bank_TM_2,     Chứng khoán nợ,(Explaination) Debt securities,BS_121
Bank_TM_8,     Chứng khoán vốn,(Explaination) Equity securities,BS_121
Bank_TM_12,     Chứng khoán kinh doanh khác,(Explaination) Other trading securities,BS_121
Bank_TM_13,     Dự phòng rủi ro chứng khoán kinh doanh,(Explaination) Provision for trading securities risk,BS_121
Bank_TM_17,     Tình trạng niêm yết của các chứng khoán kinh doanh,(Explaination) Listing status of trading securities,BS_121
Bank_TM_28,"     Cho vay các tổ chức kinh tế, cá nhân trong nước",(Explaination) Loans to domestic economic organizations and individuals,BS_125
Bank_TM_29,     Chiết khấu thương phiếu và giấy tờ có giá,(Explaination) Discount of commercial papers and valuable papers,BS_125
Bank_TM_30,     Cho thuê tài chính,(Explaination) Financial leasing,BS_125
Bank_TM_31,     Các khoản trả thay khách hàng,(Explaination) Payments on behalf of customers,BS_125
Bank_TM_32,"     Cho vay bằng vốn tài trợ, uỷ thác đầu tư",(Explaination) Loans funded by investment trust,BS_125
Bank_TM_33,"     Cho vay đối với các tổ chức, cá nhân nước ngoài",(Explaination) Loans to foreign organizations and individuals,BS_125
Bank_TM_34,     Cho vay theo chỉ định của Chính phủ,(Explaination) Loans designated by the Government,BS_125
Bank_TM_35,     Nợ cho vay được khoanh và nợ chờ xử lý,(Explaination) Frozen loans and loans pending resolution,BS_125
Bank_TM_36,     Các khoản cho vay khác,(Explaination) Other loans,BS_125
Bank_TM_38,Cho vay ngành thương mại,(Explaination) Loans to the trade industry,BS_125
Bank_TM_39,Cho vay ngành nông nghiệp và lâm nghiệp,(Explaination) Loans to agriculture and forestry,BS_125
Bank_TM_40,Cho vay ngành sản xuất,(Explaination) Loans to the manufacturing industry,BS_125
Bank_TM_45,Cho vay ngành xây dựng,(Explaination) Loans to the construction industry,BS_125
Bank_TM_46,Cho vay ngành dịch vụ cộng đồng và cá nhân,(Explaination) Loans to community and personal services,BS_125
Bank_TM_55,"Cho vay ngành kho bãi, vận tải và viễn thông","(Explaination) Loans to warehousing, transportation, and telecommunications",BS_125
Bank_TM_58,Cho vay ngành dịch vụ và đào tạo,(Explaination) Loans to service and training,BS_125
Bank_TM_61,Cho vay bất động sản và tư vấn,(Explaination) Loans to real estate and consulting,BS_125
Bank_TM_62,Cho vay ngành khách sạn và nhà hàng,(Explaination) Loans to hotels and restaurants,BS_125
Bank_TM_63,Cho vay ngành dịch vụ tài chính,(Explaination) Loans to financial services,BS_125
Bank_TM_64,Cho vay ngành khác,(Explaination) Loans to other industries,BS_125
Bank_TM_65,Nợ quá hạn/ Nợ xấu,(Explaination) Nonperforming Loans/Bad debts,BS_125
Bank_TM_66,Nợ đủ tiêu chuẩn (Nợ nhóm 1),(Explaination) Standard debts (Group 1 debts),BS_125
Bank_TM_67,Nợ cần chú ý (Nợ nhóm 2),(Explaination) Debts needing attention (Group 2 debts),BS_125
Bank_TM_68,Nợ dưới tiêu chuẩn (Nợ nhóm 3),(Explaination) Substandard debts (Group 3 debts),BS_125
Bank_TM_69,Nợ nghi ngờ (Nợ nhóm 4),(Explaination) Doubtful debts (Group 4 debts),BS_125
Bank_TM_70,Nợ xấu có khả năng mất vốn (Nợ nhóm 5),(Explaination) Bad debts with potential loss of capital (Group 5 debts),BS_125
Bank_TM_72,     Cho vay ngắn hạn,(Explaination) Short-term loans,BS_125
Bank_TM_73,     Cho vay trung hạn,(Explaination) Medium-term loans,BS_125
Bank_TM_74,     Cho vay dài hạn,(Explaination) Long-term loans,BS_125
Bank_TM_85,cho vay     Doanh nghiệp nhà nước,(Explaination) Loans to State-owned enterprises,BS_125
Bank_TM_86,cho vay     Công ty TNHH và cổ phần,(Explaination) Loans to Limited liability and joint-stock companies,BS_125
Bank_TM_87,cho vay     Doanh nghiệp nước ngoài,(Explaination) Loans to Foreign enterprises,BS_125
Bank_TM_88,cho vay     Hợp tác xã và công ty tư nhân,(Explaination) Loans to Cooperatives and private companies,BS_125
Bank_TM_89,cho vay     Cá nhân,(Explaination) Loans to Individuals,BS_125
Bank_TM_90,cho vay     Khác,(Explaination) Loans - Other,BS_125
Bank_TM_121,     Tiền gửi không kỳ hạn,(Explaination) Demand deposits,BS_305
Bank_TM_122,     Tiền gửi có kỳ hạn,(Explaination) Term deposits,BS_305
Bank_TM_123,     Tiền gửi tiết kiệm,(Explaination) Savings deposits,BS_305
Bank_TM_124,     Tiền gửi ký quỹ,(Explaination) Margin deposits,BS_305
Bank_TM_125,     Tiền gửi cho những mục đích riêng biệt,(Explaination) Deposits for specific purposes,BS_305
Bank_TM_130,Tiền gửi     Doanh nghiệp nhà nước,(Explaination) Deposits from State-owned enterprises,BS_305
Bank_TM_131,Tiền gửi     Doanh nghiệp tư nhân,(Explaination) Deposits from Private enterprises,BS_305
Bank_TM_132,Tiền gửi     Doanh nghiệp nước ngoài,(Explaination) Deposits from Foreign enterprises,BS_305
Bank_TM_133,Tiền gửi     Cá nhân,(Explaination) Deposits from Individuals,BS_305
Bank_TM_134,Tiền gửi     Thu nhập lãi và các khoản Thu nhập tương tự,(Explaination) Interest income and similar income,BS_305
Share_TM_1,     Tiền mặt,(Explaination) Holding Cash,BS_110
Share_TM_2,     Tiền gửi ngân hàng,(Explaination) Bank deposits,BS_110
Sec_TM_100,GIÁ TRỊ GIAO DỊCH THỰC HIỆN TRONG KỲ CỦA CTCK,(Explaination) VALUE OF TRANSACTIONS PERFORMED DURING THE PERIOD BY SECURITIES COMPANIES,TM_108
Sec_TM_101,     Giá trị Cổ phiếu,(Explaination) Value of Stocks (Securities firms),TM_108
Sec_TM_102,     Giá trị Trái phiếu,(Explaination) Value of Bonds (Securities firms),TM_108
Sec_TM_108,GIÁ TRỊ GIAO DỊCH THỰC HIỆN TRONG KỲ CỦA NĐT,(Explaination) VALUE OF TRANSACTIONS PERFORMED DURING THE PERIOD BY INVESTORS,TM_108
Sec_TM_109,     Giá trị Cổ phiếu,(Explaination) Value of Stocks (Inverstors),TM_108
Sec_TM_110,     Giá trị Trái phiếu,(Explaination) Value of Bonds (Inverstors),TM_108
Sec_TM_246,TRÍCH LẬP DỰ PHÒNG GIẢM GIÁ CÁC TÀI SẢN TÀI CHÍNH,(Explaination) PROVISION FOR IMPAIRMENT OF FINANCIAL ASSETS,BS_121
Sec_TM_371,"     Phải trả hộ cổ tức, gốc và lãi trái phiếu cho Nhà đầu tư","(Explaination) Payables on behalf of investors for dividends, principal, and interest of bonds",BS_351
Share_TM_3,     Vay ngân hàng,(Explaination) Bank loans,BS_341
Share_TM_4,     Vay đối tượng khác,(Explaination) Loans from other entities,BS_341
Share_TM_5,     Trái phiếu phát hành,(Explaination) Bonds issued,BS_341
Share_TM_6,     Thuê tài chính,(Explaination) Financial leases,BS_341
Sec_TM_413,     Nợ dài hạn khác,(Explaination) Other long-term liabilities,BS_341
Corp_TM_7,     Chứng khoán đầu tư ngắn hạn,(Explaination) Short-term investments,BS_121
Corp_TM_20,"     Nguyên liệu, vật liệu","(Explaination) Raw materials, supplies",BS_160
Corp_TM_23,     Thành phẩm,(Explaination) Finished goods,BS_160
Corp_TM_24,     Hàng hóa,(Explaination) Merchandise,BS_160
Corp_TM_25,     Hàng gửi đi bán,(Explaination) Goods on consignment,BS_160
Corp_TM_26,     Hàng hoá kho bảo thuế,(Explaination) Goods in bonded warehouses,BS_160
Corp_TM_27,     Hàng hoá bất động sản,(Explaination) Real estate goods,BS_160
Corp_TM_114,     Doanh thu bán hàng,(Explaination) Sales revenue,IS_001
Corp_TM_115,     Doanh thu cung cấp dịch vụ,(Explaination) Revenue from service provision,IS_001
Corp_TM_116,     Doanh thu hợp đồng xây dựng,(Explaination) Revenue from construction contracts,IS_001
Corp_TM_134,"     Lãi tiền gửi, tiền cho vay",(Explaination) Interest income from deposits and loans,IS_021
Corp_TM_135,"     Lãi đầu tư trái phiếu, kỳ phiếu, tín phiếu","(Explaination) Interest income from bonds, promissory notes, treasury bills",IS_021
Corp_TM_136,"     Cổ tức, lợi nhuận được chia","(Explaination) Dividends, profit share received",IS_021
Corp_TM_137,"     Lãi từ bán, thanh lý các khoản đầu tư","(Explaination) Gain from sale, liquidation of investments",IS_021
Corp_TM_144,     Lãi tiền vay,(Explaination) Loan interest,IS_022
